id,text,source,created_at,
822594341625597957,"@KeyaMoradi @POTUS I think you meant ""awesome day for America"" #MAGA MAGA! #TrumpInaugural God Bless Donald Trump.",Twitter for iPhone,2017-01-20 23:59:08,
822594334692360193,"Goodbye, @barackobama. We shan't be missin' you at all! #FB #MAGA https://t.co/534sch5TCU",Chicken Nugget,2017-01-20 23:59:07,
822594331538231297,For the 1st time I have followed the @POTUS account now that @realDonaldTrump is controlling it. @POTUS is now someone I am proud of. #MAGA,Twitter for iPhone,2017-01-20 23:59:06,
822594328342171649,"@StephenKing The more you liberal elitists throw your little tantrums, the more it convinces REAL America we got it right. #TCOT #MAGA",Twitter Web Client,2017-01-20 23:59:05,
822594327499145217,We had fantastic seats today right in front of the White House! What an awesome experience it was to welcome the ne… https://t.co/6YaagwTrDG,Twitter for iPhone,2017-01-20 23:59:05,
822594321845260289,https://t.co/VRhn0ttY0Q @ABC is corrupt! Fire @TerryMoran Public demands justice! @realDonaldTrump #maga #Inauguration,Twitter for Android,2017-01-20 23:59:04,
822594320494710784,Irony. #MAGA! https://t.co/6P4k1Z49v3,Twitter Web Client,2017-01-20 23:59:03,
822594317395038210,"In that case they are no longer protesters, but RIOTERS. #MAGA #GreatAgain https://t.co/8sX3bQ7JDx",Twitter Web Client,2017-01-20 23:59:02,
822594312777113600,I feel so sorry for those unfortunate people who really believed that this human dumpster fire was actually going t… https://t.co/Hqqc8YiFJc,Twitter for iPhone,2017-01-20 23:59:01,
822594305948872704,#Chicano #Trump #MyPrez #MAGA #WeThePeople #Inauguration2017 #BLM #Sacramento #Young #Educated #Chicano #Trumpster https://t.co/Ibkk6MOjMD,Twitter for iPhone,2017-01-20 23:59:00,
822594303130267648,#POTUSTrump #MAGA #AmericaFirst https://t.co/93fvkLa9yb,Twitter Web Client,2017-01-20 23:58:59,
822594302257852421,Let's get to work to truly #MAGA my fellow #Libtards!! @robdelaney https://t.co/eV14up24wW,Twitter Web Client,2017-01-20 23:58:59,
822594294821376000,That was a great Inaugural Parade of the people by the for the people 🇺🇸 It's a great day to be an American #MAGA… https://t.co/sEXi4DE47O,Twitter for iPhone,2017-01-20 23:58:57,
822594291738570752,@PrisonPlanet @JohnFromCranber @DocThompsonShow LOCK THEM UP MAXIUM SENTENCES ! Let them know we are done with their anti USA actions #MAGA,Twitter for iPhone,2017-01-20 23:58:56,
822594283907780608,"CNN calls em ""protesters"" , I call em criminals. #MAGA https://t.co/GhZc6k2mH6",Twitter for iPhone,2017-01-20 23:58:55,
822594279847723008,#Inauguration #Trump #MAGA #FridayFeeling https://t.co/JbKB8zdT3N,Twitter for Windows,2017-01-20 23:58:54,
822594278010605568,"@OfficialSPGB @jerseybrah Actually,  we're just THINKING. Try it,  Commie bastards. #MAGA bitches",Twitter for Android,2017-01-20 23:58:53,
822594274294452225,@MichaelCohen212 Wow you helped your Friend become  @potus @realDonaldTrump how cool is that? Congrats #MAGA https://t.co/G9vvCgCylR,Twitter for Android,2017-01-20 23:58:52,
822594270104326146,"MT @bruceoja: Here, Now don't mess it up #ISIS #Syria #Obamacare #Debt #foreignpolicy #veterans #TRUMP #MAGA https://t.co/Qp2TaXEG4C #PJNET",#PJNET,2017-01-20 23:58:51,
822594269793939458,"#MAGA #MAGA3X remember working the men who fish, crab, guide, farm - working this great land, like Johnie iin NC -… https://t.co/g9nJQHaY1F",Twitter Web Client,2017-01-20 23:58:51,
822594268804120576,#MAGA #TrumpInauguration #FakeNews not reporting the chaos vandalism and violence that actually took place today. Will scope about it later.,Twitter for iPhone,2017-01-20 23:58:51,
822594267835232256,When liberals don't get their way this is how they behave. Again - This is why Trump won and why the left is eating… https://t.co/jLPeFk2IAZ,Twitter for iPhone,2017-01-20 23:58:51,
822594266128150529,"Can everyone please stop calling these idiots ""peaceful protestors""... they aren't peacefully protesting, they are rioting. #MAGA",Twitter for iPhone,2017-01-20 23:58:50,
822594265633189892,What me &amp; my mom cared about during the inauguration💙❤️ #MAGA https://t.co/ladYvyj5X9,Twitter for iPhone,2017-01-20 23:58:50,
822594263481483264,#InaugurationDay2017 #ProudAmerican @DrottM @shannonsbeau @philadper2014 @NJLawBitch @mikethenice1 @DRUDGE… https://t.co/Ic8E7GZiBX,Twitter Web Client,2017-01-20 23:58:50,
822594262755844096,Getting down to business! #maga https://t.co/1LgZNqXPif,Twitter for iPhone,2017-01-20 23:58:49,
822594261950533633,"Local DC MSM is #fakenews ABC 7 News - WJLA @ABC7News
#Inauguration 
#GodBlessAmerica 
#MAGA https://t.co/B66D7XtxSc",Twitter Web Client,2017-01-20 23:58:49,
822594254098857988,President Trump we love you and thank you for giving us our country back. #InaugurationDay #YoureHired #MAGA,Twitter for Android,2017-01-20 23:58:47,
822594253004144640,@liam_bp #MAGA,Twitter for iPhone,2017-01-20 23:58:47,
822594248860168196,@KellyannePolls Happy Birthday Kellyanne! Great birthday present! #MAGA #MakeAmericaGreatAgain #POTUS,Twitter Web Client,2017-01-20 23:58:46,
822594248361017347,@realDonaldTrump @POTUS @WhiteHouse #MAGA #InaugurationDay2017 https://t.co/ETQuQkw9zH,Twitter for iPhone,2017-01-20 23:58:46,
822594235694190594,Finally! Cities that do not uphold federal laws shouldn't get taxpayer dollars. #MAGA #Inauguration https://t.co/gCWRpJ2z0O,Twitter for iPhone,2017-01-20 23:58:43,
822594234352017408,@nyltiaccc @thecampaignbook You are right he will not divide you instead subtract you #MAGA,Twitter for iPhone,2017-01-20 23:58:43,
822594229054701568,A great day to be deplorable! Right? @TomiLahren #MAGA,Twitter for iPhone,2017-01-20 23:58:41,
822594229000138753,@TheGameSheet @loriturner2017 #MAGA 8 years of having the best president ever!!!,Twitter for Android,2017-01-20 23:58:41,
822594223065206789,@MichaelBerrySho Well said Mike...#ObamaExits #MAGA,Twitter Web Client,2017-01-20 23:58:40,
822594215179878401,".@RealDonaldTrump @POTUS @POTUS44 @SpeakerRyan @HouseGOP @Senategop @KellyannePolls #maga @SeanSpicer 

https://t.co/wF5UFXjvlr",Twitter Web Client,2017-01-20 23:58:38,
822594215117025283,Get used to it Richard... If I see you in public you're getting another one. #MAGA https://t.co/lc3hMQdII1,Twitter for Android,2017-01-20 23:58:38,
822594203683274753,President Donald Trump Will Sign Executive Order Sunday to Defund International Planned Parenthood https://t.co/f4T3djG3iy #TrumpTrain #MAGA,Put your button on any page! ,2017-01-20 23:58:35,
822594197425389568,#MAGA! https://t.co/11nJAWdspl,Facebook,2017-01-20 23:58:34,
822594191293317121,@NPR feels GREAT! Time to fix this thing. #maga,Twitter for iPhone,2017-01-20 23:58:32,
822594187975593984,Big changes afoot! Weekend task (Day #1): Repaint my new home a more appropriate colour!! @Donalds_Diary… https://t.co/7hl88b7r3g,Twitter Web Client,2017-01-20 23:58:32,
822594186528616450,Trump has such a wonderful heart!!  Just love him!!  Heard of lots of acts of kindness by Trump!! @realDonaldTrump… https://t.co/OhHuuHKtU5,Twitter Web Client,2017-01-20 23:58:31,
822594186507649024,"@TheLoneOlive Not bleak for all There's a Phoenix, a rejuvenated American spirit rising from the ashes of past 8 years #MAGA #POTUSTrump",Twitter Web Client,2017-01-20 23:58:31,
822594184011976704,"#MAGA
https://t.co/Yr08zUpnGx",Twitter Web Client,2017-01-20 23:58:31,
822594182053240832,@RichardGrenell @realDonaldTrump nice ring to it..FREEDOM ball!! #MAGA #FreedomBall,Twitter Web Client,2017-01-20 23:58:30,
822594181067640833,"Hey, #notmypresident people. He's your president now. Stop whining and deal or leave. #mypresident #maga",Mobile Web (M5),2017-01-20 23:58:30,
822594181067640833,"Hey, #notmypresident people. He's your president now. Stop whining and deal or leave. #mypresident #maga",Mobile Web (M5),2017-01-20 23:58:30,
822594178962063360,@klrwriter @BarackObama @ObamaFoundation All class all the time. Try to act like an adult. #MAGA!,Twitter for iPhone,2017-01-20 23:58:29,
822594176990793731,allahu akbar #makeallahgreatagain #MAGA https://t.co/1hthguq7MM,Twitter for iPhone,2017-01-20 23:58:29,
822594175715737602,"@realDonaldTrump 

Hey Trumpy.....your #Inauguration was pathetic. You should be embarrased. Obama kicked your ass!

Loser! 

#MAGA",Twitter for Android,2017-01-20 23:58:29,
822594175396880385,"This is good!😱😂
#MAGA https://t.co/EXmJISdOpn",Twitter for Android,2017-01-20 23:58:29,
822594173664718848,"DJT #Inaugurationspeech could not have been better!
Only thing missing from #InaugurationDay2017 was #MicDrop
#MAGA  https://t.co/WcGFyow6N9",Twitter for iPhone,2017-01-20 23:58:28,
822594171764703234,@realDonaldTrump @POTUS @titoortiz GO TITO GOOD LUCK MAÑANA BRO. GO TRUMP GO TITO. #MAGA https://t.co/oiqkIBM9D0,Twitter for iPhone,2017-01-20 23:58:28,
822594164294619136,@amyschumer Please-please shut down Hollywood - then you will find out no one misses you! #MAGA #TrumpTrain #Trump45,Twitter Web Client,2017-01-20 23:58:26,
822594163107577858,"The 
Confirmations
Begin
①Mattis
②Kelly
#fboLoud #tcot #maga
#tpot #AmericaFirst #ycot
①https://t.co/3tDP1uNR5f
②… https://t.co/Ua6X62wGQU",Twitter Web Client,2017-01-20 23:58:26,
822594162105188352,"@KellyannePolls You and Stacey Dash share a birthday, Happy Birthday and thank you for all your work in #MAGA. Perhaps the fist woman POTUS?",Twitter Web Client,2017-01-20 23:58:25,
822594159672430596,"We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!
#InaugurationDay #MAGA🇺🇸",Twitter for Android,2017-01-20 23:58:25,
822594155687931904,WTH!! now you're racist if u say America First well #AmericaFirst   #AmericaFirst #AmericaFirst #AmericaFirst #AmericaFirst #MAGA Pres#Trump,Twitter for Android,2017-01-20 23:58:24,
822594150696681472,"""President Trump"" #FortyFive #Trump #MAGA #TRUMP
Time to get to work America!!!!  PLENTY TO DO!!! https://t.co/nPYMO1z0Hc",Twitter Web Client,2017-01-20 23:58:23,
822594147689398272,"It was such a great slice of America, too. #inauguration #maga https://t.co/4ZEiIhc9g2",Mobile Web (M5),2017-01-20 23:58:22,
822594145177010176,"Congrats, and thank you for your service! 👏🗽🎆 #InaugurationDay2017  #FloridaLife #MAGA https://t.co/HnNzm6Bwxe",Twitter for Android,2017-01-20 23:58:21,
822594121319804931,#MAGA🍻 https://t.co/RH2XzHUTP7,Twitter Web Client,2017-01-20 23:58:16,
822594118744506368,@RickyVaughn_II my wife wants Melania's @RalphLauren dress and coat. #MAGA,Twitter Web Client,2017-01-20 23:58:15,
822594116265590784,@Pamela_Moore13 @libertarianma What is law enforcement doing? Use your batons! Crush some skulls! Break some bones! Do your job! .#MAGA,Twitter for iPhone,2017-01-20 23:58:15,
822594111668633601,LMAO! #maga #trump #pence #inauguration #presidenttrump #vicepresidentpence #pepe #pepethefrog #desu… https://t.co/JbJ8mNdPnZ,Twitter for Android,2017-01-20 23:58:13,
822594106153201667,"@oliviawilde REAL America DID stay informed, stay engaged, and speak up. That's why Donald Trump is now POTUS. #TCOT #MAGA",Twitter Web Client,2017-01-20 23:58:12,
822594103376482305,How much I LOVE Trump having Tractor Brigade in his parade!! #MAGA,Twitter for Android,2017-01-20 23:58:11,
822594094673395712,@GoodKnightSir hussein Obama is gone now time to #maga,Twitter for Android,2017-01-20 23:58:09,
822594094635565056,@KellyannePolls Happy Birthday! I heard 50 is the new 30! Thanks for all your #hardwork #MAGA,Twitter Web Client,2017-01-20 23:58:09,
822594091120816128,My favorite thing about @realDonaldTrump is that he won a gold medal in the 200IM in Munich in 1972. #MAGA… https://t.co/0Wvhtds56j,Twitter Web Client,2017-01-20 23:58:09,
822594089967374337,"Mind blowing 13.5 million followers, in ~8 hours! We love you President Trump! #MAGA https://t.co/yfq0MaxiRC",Twitter Web Client,2017-01-20 23:58:08,
822594086188306432,It's official.. We are now on that Donald Trump shit. #MAGA https://t.co/E4rqgzo61s,Twitter for iPhone,2017-01-20 23:58:07,
822594080928624641,#MAGA Hug #FF @alpipkin @WadadamAdam @johnsykes1035 @AmericanBand911 @snikpmis @badov49 @marylene58 https://t.co/qst2MidcvC,#PJNET,2017-01-20 23:58:06,
822594080815411203,Headed to the Liberty Inaugural Ball as a Representative of NEOhio and of the Ohio House. Godspeed Mr. President.… https://t.co/la73ivv3Y7,Hootsuite,2017-01-20 23:58:06,
822594078667902976,"@rickturpin Making America Great Again #MAGA

https://t.co/JklwPvCkxl",Twitter Web Client,2017-01-20 23:58:06,
822594078420385792,Attn all FHA mortgage holders. 1st admin action put $500 on r mortgage #Inauguration #MAGA  https://t.co/NGq8DaMfdV,Twitter for iPhone,2017-01-20 23:58:06,
822594077430521856,#Trumpinauguration🇺🇸 #MAGA🇺🇸 #dwdd #nieuwsuur #jinek https://t.co/y6cR8FbNGc,Twitter for iPhone,2017-01-20 23:58:05,
822594075425701890,Great to see you @BillHemmer! Thx for the great coverage of @realDonaldTrump @mike_pence #inauguration! #MAGA… https://t.co/8WFrZiVORt,Twitter for iPhone,2017-01-20 23:58:05,
822594072737173506,".@LindaSuhler It was such a great slice of America, too. #inauguration #maga",Mobile Web (M5),2017-01-20 23:58:04,
822594072036671497,It really is impossible to get any more slimy and disgusting than a liberal. #DrainTheSwamp #MAGA #SJW #barrontrump https://t.co/9DoRAG8zV2,Twitter for iPad,2017-01-20 23:58:04,
822594065162260482,Congratulations President Trump! 🇺🇸 @POTUS @realDonaldTrump #MAGA #InaugurationDay2017,Twitter for iPhone,2017-01-20 23:58:02,
822594063673290753,Today's #PresidentialInauguration summary for #MAGA anxiety: Good Mourning &amp; Good KKKnight America!,Twitter Web Client,2017-01-20 23:58:02,
822594063107059714,"@WA4RG @bobbeckel @TheFive  I 2nd that motion Rick!  Throw them both off. Tired of 'The View' on Fox,  give @ericbolling his own show. #MAGA",Twitter for iPhone,2017-01-20 23:58:02,
822594062050099204,@ddayen @quitterbug IF people (#MAGA maggots) manage to qualify for loans. The housing market is down the drain.,Twitter for iPhone,2017-01-20 23:58:02,
822594059910967297,"@LarryT1940 Morning sky over North Texas. I feel so optimistic for our country's future.
#MAGA 🇺🇸🇺🇸🇺🇸 https://t.co/4pt8evoOcS",Twitter for iPhone,2017-01-20 23:58:01,
822594059730554880,"Celebrating  @RRMGOP w/ Eric, Bill Schuette and his wife Cynthia! Such a dream day, so excited to #MAGA! https://t.co/XjW2DHhPGR",Twitter for iPhone,2017-01-20 23:58:01,
822594058648424453,"#MAGA And, just to be sure we all know what a ""Patriot"" is https://t.co/dJ4hLG5Dwk  Thanks Michelle! https://t.co/4tGqzgYSE3",Twitter Web Client,2017-01-20 23:58:01,
822594054596730881,Twitter was SO fun today. Thanks peeps! #MAGA #tcot,Twitter for iPad,2017-01-20 23:58:00,
822594051908190209,@Alyssa_Milano @ObamaFoundation it certainly is bigger than any one person - that's why the citizens of USA won when we voted TRUMP #Maga,Twitter for iPhone,2017-01-20 23:57:59,
822594050016546823,Complete Text of President Donald Trump’s Inaugural Address https://t.co/k1YXTKe9K3 BWCentral #MAGA… https://t.co/VCXEN3jufs,Buffer,2017-01-20 23:57:59,
822594049970503681,"@WTPatty @BZep Obama will not go quietly, he will be agitating, empowering, and doing all he can to disrupt @realDonaldTrump agenda to #MAGA",TweetDeck,2017-01-20 23:57:59,
822594045700665345,@KellyannePolls happy birthday from the bluegrass state of Kentucky 🇺🇸 #MAGA #MakeAmericaGreatAgain congrats 45prestrump,Twitter for Android,2017-01-20 23:57:58,
822594043796488194,"""We do not seek to impose our way of life on anyone, but rather to let it shine as an example."" @POTUS 🙌 😍 #TrumpInauguration #45 #Maga",Twitter for iPhone,2017-01-20 23:57:57,
